start;end;regione;comune
35854336;35854591;Piemonte;Ivrea
35854592;35854847;Lombardia;Milan
35854848;35855103;Piemonte;Ivrea
35855104;35855359;Lombardia;Milan
35855360;35855615;Piemonte;Ivrea
35855616;35855871;Lombardia;Limbiate
35855872;35858687;Piemonte;Ivrea
35858688;35858943;Umbria;Gubbio
35858944;35860479;Piemonte;Ivrea
35860480;35860735;Lombardia;Varese
35860736;35860991;Lombardia;Milan
35860992;35861247;Piemonte;Torino
35861248;35861503;Piemonte;Borgosesia
35861504;35861759;Lombardia;Milan
35861760;35862271;Lombardia;Bergamo
35862272;35862783;Lombardia;Milan
35862784;35863039;Lombardia;Brescia
35863040;35863295;Lombardia;Bergamo
35863296;35863807;Lombardia;Milan
35863808;35864063;Lombardia;Brescia
35864064;35864319;Lombardia;Bergamo
35864320;35864575;Piemonte;Torino
35864576;35864831;Piemonte;Ivrea
35864832;35865343;Lombardia;Milan
35865344;35865599;Lombardia;Voghera
35865600;35866111;Lombardia;Brescia
35866112;35866367;Lombardia;Milan
35866368;35866623;Lombardia;Varese
35866624;35866879;Lombardia;Milan
35866880;35867391;Piemonte;Torino
35867392;35867647;Liguria;Sestri Levante
35867648;35868159;Liguria;Castelnuovo Magra
35868160;35868415;Lombardia;Bergamo
35868416;35868671;Piemonte;Torino
35868672;35868927;Lombardia;Milan
35868928;35869183;Lombardia;Bergamo
35869184;35869695;Piemonte;Ivrea
35869696;35870719;Lombardia;Milan
35870720;35870975;Lombardia;Busto Arsizio
35870976;35871231;Lombardia;Bergamo
35871232;35871999;Lombardia;Milan
35872000;35872255;Liguria;Imperia
35872256;35872511;Piemonte;Ivrea
35872512;35873535;Lombardia;Milan
35873536;35873791;Piemonte;Ivrea
35873792;35874047;Lombardia;Milan
35874048;35874303;Piemonte;Ivrea
35874304;35874559;Lombardia;Casteggio
35874560;35874815;Piemonte;Torino
35874816;35875327;Piemonte;Ivrea
35875328;35875583;Lombardia;Pregnana Milanese
35875584;35875839;Piemonte;Ivrea
35875840;35876095;Piemonte;Torino
35876096;35876351;Piemonte;Alessandria
35876352;35876863;Lombardia;Cagnola
35876864;35877119;Piemonte;Torino
35877120;35880191;Lombardia;Milan
35880192;35880447;Piemonte;Ivrea
35880448;35880959;Lombardia;Milan
35880960;35881215;Lazio;Rome
35881216;35882495;Piemonte;Ivrea
35882496;35882751;Marche;Jesi
35882752;35883263;Piemonte;Ivrea
35883264;35883519;Toscana;Florence
35883520;35885311;Piemonte;Ivrea
35885312;35885567;Lazio;Rome
35885568;35885823;Lazio;Ripa
35885824;35886079;Piemonte;Ivrea
35886080;35886335;Lazio;Rome
35886336;35886591;Lazio;Ripa
35886592;35886847;Lazio;Rome
35886848;35887103;Lazio;Arpino
35887104;35887359;Emilia-Romagna;Sant'Agata sul Santerno
35887360;35887615;Piemonte;Ivrea
35887616;35887871;Sardegna;Cagliari
35887872;35888127;Lazio;Ripa
35888128;35888383;Piemonte;Ivrea
35888384;35888895;Lazio;Rome
35888896;35889151;Piemonte;Ivrea
35889152;35889407;Abruzzo;San Salvo
35889408;35889663;Lazio;Ripa
35889664;35889919;Abruzzo;L'Aquila
35889920;35890175;Abruzzo;Pineto
35890176;35890431;Lazio;Rome
35890432;35890943;Piemonte;Ivrea
35890944;35891199;Lazio;Rome
35891200;35891455;Lazio;Ripa
35891456;35891711;Lazio;Pratica di Mare
35891712;35891967;Piemonte;Ivrea
35891968;35892223;Lazio;Rome
35892224;35892479;Piemonte;Ivrea
35892480;35892735;Toscana;Pisa
35892736;35892991;Abruzzo;Pescara
35892992;35893247;Lazio;Rome
35893248;35893503;Lombardia;Milan
35893504;35893759;Lazio;Rome
35893760;35894015;Toscana;Monticelli
35894016;35894271;Lazio;Sabaudia
35894272;35894527;Lazio;Rome
35894528;35894783;Piemonte;Ivrea
35894784;35895039;Lazio;Ronciglione
35895040;35895295;Lazio;Rome
35895296;35895551;Toscana;Florence
35895552;35895807;Lazio;Ripa
35895808;35896063;Lazio;Rome
35896064;35896319;Marche;Ancona
35896320;35896575;Marche;Pesaro
35896576;35896831;Sardegna;Macomer
35896832;35897087;Lazio;Rome
35897088;35897343;Abruzzo;L'Aquila
35897344;35897599;Piemonte;Torino
35897600;35898367;Piemonte;Ivrea
35898368;35898623;Piemonte;Galliate
35898624;35898879;Piemonte;Ivrea
35898880;35899135;Lombardia;Brescia
35899136;35899647;Liguria;Genova
35899648;35899903;Lombardia;Bergamo
35899904;35900671;Piemonte;Torino
35900672;35900927;Liguria;Genova
35900928;35901439;Piemonte;Ivrea
35901440;35901695;Veneto;Refrontolo
35901696;35901951;Piemonte;Pozzolo Formigaro
35901952;35902207;Veneto;Padova
35902208;35902463;Emilia-Romagna;Ferrara
35902464;35902719;Emilia-Romagna;Parma
35902720;35902975;Veneto;Verona
